Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
374,0,,,,,0,0.124,,
375,0,,,,,0,0.12,,
376,0,,,,,0,0.117,,
377,0,,,,,0,0.116,,
378,0,,,,,0,0.121,,
379,0,,,,,0,0.122,,
380,0,,,,,0,0.12,,
381,0,,,,,0,0.12,,
382,0,,,,,0,0.123,,
383,0,,,,,0,0.117,,
384,0,,,,,0,0.123,,
385,0,,,,,0,0.124,,
386,0,,,,,0,0.118,,
387,0,,,,,0,0.118,,
388,0,,,,,0,0.124,,
389,0,,,,,0,0.121,,
390,0,,,,,0,0.125,,
391,0,,,,,0,0.123,,
392,0,,,,,0,0.121,,
393,0,,,,,0,0.122,,
394,0,,,,,0,0.121,,
395,0,,,,,0,0.121,,
396,0,,,,,0,0.124,,
397,0,,,,,0,0.116,,
398,0,,,,,0,0.122,,
399,0,,,,,0,0.12,,
400,0,,,,,0,0.123,,
401,0,,,,,0,0.12,,
402,0,,,,,0,0.125,,
403,1,hatchback,Silver,,,0,0.128,0.094,0.016
404,1,hatchback,Silver,,,0,0.124,0.078,0.0
405,1,hatchback,Silver,,,0,0.127,0.109,0.016
406,1,hatchback,Silver,,,0,0.122,0.094,0.016
407,1,hatchback,Silver,,,0,0.136,0.078,0.016
408,1,hatchback,Silver,,,0,0.139,0.141,0.031
409,1,hatchback,Silver,,,0,0.138,0.141,0.016
410,1,hatchback,Silver,,,0,0.145,0.125,0.031
411,0,,,,,0,0.136,,
412,0,,,,,0,0.13,,
413,0,,,,,0,0.125,,
414,0,,,,,0,0.125,,
415,0,,,,,0,0.125,,
416,0,,,,,0,0.125,,
417,0,,,,,0,0.109,,
418,0,,,,,0,0.13,,
419,0,,,,,0,0.125,,
420,0,,,,,0,0.122,,
421,0,,,,,0,0.122,,
422,0,,,,,0,0.124,,
423,0,,,,,0,0.125,,
424,0,,,,,0,0.124,,
425,0,,,,,0,0.123,,
426,0,,,,,0,0.124,,
427,0,,,,,0,0.121,,
428,0,,,,,0,0.123,,
429,0,,,,,0,0.119,,
430,0,,,,,0,0.126,,
431,1,hatchback,Silver,,,0,0.126,0.141,0.0
432,0,,,,,0,0.125,,
433,0,,,,,0,0.122,,
434,0,,,,,0,0.123,,
435,0,,,,,0,0.119,,
436,0,,,,,0,0.123,,
437,0,,,,,0,0.12,,
438,0,,,,,0,0.12,,
439,0,,,,,0,0.124,,
440,0,,,,,0,0.123,,
441,0,,,,,0,0.121,,
442,0,,,,,0,0.117,,
443,0,,,,,0,0.124,,
444,0,,,,,0,0.127,,
445,0,,,,,0,0.121,,
446,0,,,,,0,0.124,,
447,0,,,,,0,0.121,,
448,0,,,,,0,0.122,,
449,0,,,,,0,0.121,,
450,0,,,,,0,0.121,,
451,0,,,,,0,0.118,,
452,0,,,,,0,0.12,,
453,0,,,,,0,0.124,,
454,0,,,,,0,0.116,,
455,0,,,,,0,0.115,,
456,0,,,,,0,0.124,,
457,0,,,,,0,0.12,,
458,0,,,,,0,0.12,,
459,0,,,,,0,0.122,,
460,0,,,,,0,0.124,,
461,0,,,,,0,0.12,,
462,0,,,,,0,0.123,,
463,0,,,,,0,0.121,,
464,0,,,,,0,0.129,,
465,0,,,,,0,0.122,,
466,0,,,,,0,0.125,,
467,0,,,,,0,0.12,,
468,0,,,,,0,0.122,,
469,0,,,,,0,0.123,,
470,0,,,,,0,0.121,,
471,0,,,,,0,0.122,,
472,0,,,,,0,0.117,,
473,0,,,,,0,0.12,,
474,0,,,,,0,0.124,,
475,0,,,,,0,0.125,,
476,0,,,,,0,0.125,,
477,0,,,,,0,0.12,,
478,0,,,,,0,0.124,,
479,0,,,,,0,0.118,,
480,0,,,,,0,0.12,,
481,0,,,,,0,0.122,,
482,0,,,,,0,0.121,,
483,0,,,,,0,0.121,,
484,0,,,,,0,0.122,,
485,0,,,,,0,0.117,,
486,0,,,,,0,0.122,,
487,0,,,,,0,0.12,,
488,0,,,,,0,0.118,,
489,0,,,,,0,0.119,,
490,0,,,,,0,0.125,,
491,0,,,,,0,0.117,,
492,0,,,,,0,0.122,,
493,0,,,,,0,0.121,,
494,0,,,,,0,0.12,,
495,0,,,,,0,0.118,,
496,1,hatchback,Silver,,,0,0.129,0.125,0.016
497,1,hatchback,Silver,,,0,0.12,0.094,0.016
498,1,hatchback,Silver,,,0,0.123,0.112,0.0
499,1,hatchback,Silver,,,0,0.125,0.111,0.016
500,1,hatchback,Silver,,,0,0.125,0.094,0.016
501,1,hatchback,Silver,,,0,0.123,0.109,0.016
502,1,hatchback,Silver,,,0,0.121,0.125,0.016
503,1,hatchback,Silver,,,0,0.123,0.094,0.016
504,2,hatchback,Silver,hatchback,Silver,0,0.127,0.251,0.031
505,1,hatchback,Silver,,,0,0.131,0.109,0.016
506,2,hatchback,Silver,hatchback,Silver,0,0.134,0.187,0.031
507,1,sedan,Silver,,,0,0.127,0.094,0.016
508,1,hatchback,Silver,,,0,0.123,0.109,0.016
509,1,hatchback,Silver,,,0,0.131,0.141,0.016
510,1,hatchback,Silver,,,0,0.135,0.094,0.031
511,1,sedan,Silver,,,0,0.148,0.109,0.016
512,1,sedan,Silver,,,0,0.146,0.094,0.0
513,1,hatchback,Silver,,,0,0.13,0.125,0.016
514,1,hatchback,Silver,,,0,0.124,0.112,0.031
515,1,sedan,Silver,,,0,0.135,0.109,0.016
516,1,hatchback,Silver,,,0,0.123,0.097,0.016
517,1,hatchback,Silver,,,0,0.126,0.094,0.016
518,1,hatchback,Silver,,,0,0.121,0.141,0.016
519,1,hatchback,Silver,,,0,0.126,0.109,0.0
520,1,hatchback,Silver,,,0,0.125,0.094,0.016
521,1,hatchback,Silver,,,0,0.13,0.094,0.016
522,1,hatchback,Silver,,,0,0.124,0.109,0.0
523,0,,,,,0,0.125,,
524,0,,,,,0,0.122,,
525,0,,,,,0,0.125,,
